Left Elbow Angle,Left Knee Angle,Left Hip Angle,Right Elbow Angle,Right Knee Angle,Right Hip Angle,Left Shoulder Angle,Right Shoulder Angle,Pose Name
168.70996978138612,29.905037744435106,128.19062520207476,168.67753827012424,35.89276562714176,107.43291295750306,5.571550379166703,4.482666207613772,padmasana
118.47929383329556,174.8235516055249,138.0894434202603,129.7175053521614,174.24692809655633,141.69478530913642,26.837726490423933,33.66339086947991,salamba bhujangasana
178.7568074615355,168.01407533560445,175.8345438567435,159.49380556717588,159.60758822311178,176.22373919676565,167.634716620514,167.38473674191164,adho mukha vrksasana
159.57052136972325,177.86852869448856,153.81200114323877,169.14386785769727,169.76375572824168,109.5983920617754,145.49068021867126,143.13508769850202,virabhadrasana three
144.50114563882366,174.2972786259747,22.90570015739109,153.87773368377563,173.01157949223793,89.00570089751203,116.5655978766522,115.2673101258062,parsvottanasana
145.68004702412452,21.10962894611164,74.78459179703717,148.35509672319765,18.90675808868753,69.7765558100135,164.96226422450627,173.00845945081397,adho mukha vrksasana
176.23104437253366,179.13922928151928,124.265116608015,178.77707189537696,99.6259301895344,92.52240433201206,97.72035001991182,99.53456591648738,virabhadrasana two
164.61241507467977,58.26551253443104,169.97479456902627,89.2139762278842,59.081006322945655,128.4772978199477,54.190641813910815,32.50289385870634,baddha konasana
175.66004497760628,172.16158980731976,157.17607926635432,174.82200406535654,175.99062729671698,75.57947123195524,135.7292780368175,76.75792327232993,trikonasana
177.3386252896725,100.45698922217292,101.72597167044285,177.53241332230454,94.0157436756104,102.2673269499254,62.856690833726354,70.57750077830072,ustrasana
142.6392617243741,43.2964901613843,28.25295592849951,144.61521471540505,54.31150316978309,29.17663810251953,149.01291507877391,149.092098372298,balasana
98.19490002413956,165.4983186662211,127.93230002548502,115.724358006276,164.92497576254303,129.62715072903853,37.70332348914048,38.98937622847849,salamba bhujangasana
16.65308950403462,137.61873427841775,94.93628199296025,38.37033576019408,18.434612394372397,88.42271039145103,60.79377157490471,53.658755773136406,ardha matsyendrasana
160.50278486474917,16.573992245503845,88.10298765961745,65.69791309161474,54.3476881155851,111.4237322491409,117.32310682532096,69.88443719798317,eka pada rajakapotasana
179.92395636135993,169.3597528058532,126.9443610173362,121.38284942600532,50.89410207220429,118.27073496921815,79.53095508374152,105.65595166243315,marjaryasana
61.78493701192357,177.1862539902893,48.9283026256903,69.87339588799767,170.40178597794645,40.25815929312848,69.97354076113508,72.67882811446066,uttanasana
158.5189662775602,176.67868422847846,123.6218143391713,157.6703395617845,96.44185511060584,93.4809263718744,162.31865330186272,161.86637122753385,virabhadrasana one
165.4648563104815,179.03265757475128,50.530020569362286,166.77684000506997,177.94973294573714,54.32835012174582,99.6159079855399,97.14232354782928,uttanasana
178.07555904006065,88.05422307018496,66.33471175871293,173.40439391188153,20.65380970336535,43.08221561766292,14.677304180892277,40.04258940631999,ardha matsyendrasana
72.72997561566855,38.23902752280175,53.72229670113335,47.98042105750823,23.352576454794235,40.31980323448617,14.28857960678409,62.31759083412568,malasana
167.1049805248133,18.630249273164942,71.31214524917056,168.14664739321398,18.58046683980993,72.86926406462253,22.563885264787647,22.63952672148316,baddha konasana
144.96188493330038,38.01901715991917,101.1933796995888,143.85966701236487,36.99466483393272,96.39412278891008,26.468101434736727,29.9526407617198,padmasana
167.1687834441073,24.94881610789189,109.24603077763014,119.06607363352492,19.500308550566757,132.62500925395503,26.316739335393176,9.019673329524132,ardha matsyendrasana
67.8534180199696,176.00851396353866,173.24669319135316,68.1202084810666,175.65818029378977,173.02545449193963,98.60848494538084,97.87645406948386,salamba sarvangasana
142.54334714159302,174.8350010033545,47.17956010226828,143.9655264641447,171.1408282282081,45.4976915095031,91.00633892411066,95.10326903927267,paschimottanasana
158.44780527118257,102.09548342861136,52.58519027973386,170.0852208105232,179.6338524952477,178.25014035197788,45.122142184846766,152.1659107033643,utthita parsvakonasana
175.3989612870685,179.3311293372842,151.4043697402569,169.7607531460983,173.9085763320505,59.02780746500964,72.02587758435466,120.2052716903021,ardha chandrasana
174.3253076090352,84.7921464583202,114.95025722209763,171.6905444812252,83.89792635582786,113.24280738550924,64.50519284814673,65.57401262317474,bitilasana
82.9503020218321,30.391580310610653,78.60506741788598,92.72751958656946,81.71211700938507,96.39176452127604,112.51276289181506,118.532834231908,garudasana
49.471519707362106,37.16588661569856,96.181258899553,151.27811484695465,22.71407957049527,106.26556990552191,53.43110316888968,82.11168696194349,eka pada rajakapotasana
174.4282017861317,176.2422612850631,48.93156688843085,173.2447142713964,177.97602206546262,50.12749737933189,168.52964278537726,167.73148346274343,adho mukha svanasana
71.86421795733152,19.83851629161491,87.14714863607423,173.633088070415,74.5555742606077,54.61978394867794,66.93151705097291,30.110058271781536,ardha matsyendrasana
66.68679578154777,174.25383754401798,151.6312266819916,60.00121837484453,177.70345377513615,156.4084880254839,60.00551139041328,57.95586489305508,salamba sarvangasana
125.18888114313626,173.31910381867274,46.2067441352349,110.75031362760456,172.23713733514566,42.52372180000639,176.95050248065613,178.15503178482868,ardha pincha mayurasana
167.75513826191138,67.30329646258852,47.71283565397008,168.9188225267875,70.60531311080435,48.41894112288162,175.59309174819302,175.7977308663286,utkatasana
168.0161191542273,113.85918037993288,101.56302692356611,169.4522182057402,176.72211572985313,136.2161679050203,102.10271451909895,91.3505782732522,virabhadrasana two
70.17620666117044,1.5380800670599637,43.71377645293306,84.90286966822632,26.83569010214485,6.4998752920208265,47.621088092680026,35.65818128413526,ardha matsyendrasana
